🌩注意事项,#genre#
广东体育tbs,video://https://m2.iptv807.com/?act=play&token=8676d8c6ae661f2b6c5dcc6b19500ebc&tid=itv&id=4
广东珠江tbs,video://https://m.456iptv.com/?act=play&token=446393143a90282afd8aeda316ccfda8&tid=itv&id=5
广东珠江tbs,video://https://m.456iptv.com/?act=play&token=a3531d8b36244d2b4d2ad9f00b06610f&tid=itv&id=84
广东珠江高清,http://www.qwl1965.top:20013/rtp/239.10.0.62:1025
广东珠江超清,http://www.qwl1965.top:20013/rtp/239.10.0.63:1025
广东珠江,http://qjrhc.jydjd.top:2911/udp/224.1.100.23:11111
广东珠江http://php.jdshipin.com:8880/TVOD/iptv.php?id=gdzj$1 TVOD
广东珠江http://php.jdshipin.com:8880/iptv.php?id=gdzj$2 IPTV
广东珠江,https://cdn2.163189.xyz/live/gdzj/stream.m3u8$3xyz
广东体育,http://qjrhc.jydjd.top:2911/udp/224.1.100.33:11111
大湾区卫视,http://goo.bkpcp.top/mg/dwqws
广东体育tbs,video://https://m.456iptv.com/?act=play&token=cc1b7cc40b039efef842cb3f15c17bba&tid=itv&id=4
广东体育tbs,video://https://m.456iptv.com/?act=play&token=c09d76075a15780633a3a2819a6c6f6c&tid=ty&id=3
广东体育,http://www.qwl1965.top:20013/rtp/239.10.0.113:1025
广东体育http://php.jdshipin.com:8880/TVOD/iptv.php?id=gdty$1 TVOD
广东体育https://tv.cdn.com.mp/live/gdty/stream.m3u8$2 live
广东体育http://cdn2.163189.xyz/live/gdty/stream.m3u8$3 xyz
广东体育,https://cdn2.132.us.kg/live/gdty/stream.m3u8$4 us
广东影视,http://goo.bkpcp.top/mg/gdys
广州番禺新闻,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv?fbl=
东莞新闻综合,https://stream.sun0769.com/dgrtv1/mp4tv1_1500/index.m3u8
东莞生活资讯,https://stream.sun0769.com/dgrtv1/mp4tv2_1500/index.m3u8
东莞新闻综合,https://stream.sun0769.com/dgrtv1/mp4tv1_800/index.m3u8
东莞生活资讯,https://stream.sun0769.com/dgrtv1/mp4tv2_800/index.m3u8
清远文旅生活,https://zmylivestream.nfnews.com/zmy_slive/25321.m3u8
清远新闻综合,https://zmylivestream.nfnews.com/zmy_slive/25319.m3u8
云浮综合,https://livestream.oeeee.com/slive/28283.m3u8
云浮文旅,https://livestream.oeeee.com/slive/28284.m3u8
韶关新闻,https://www.sgmsw.cn/videos/tv/201805/1308/SB05RIYZOU8JR418AUQOF62CAJQ08D0E/hls/live.m3u8
肇庆综合,https://zmylivestream.nfnews.com/zmy_slive/27872.m3u8
肇庆生活服务,https://zmylivestream.nfnews.com/zmy_slive/27871.m3u8
怀集综合,https://www.zqhjtv.com/hls/hjzhpd.m3u8
阳江-1,https://live.yjtvw.com:8081/live/yjtv1.m3u8
阳江-2,https://live.yjtvw.com:8081/live/yjtv2.m3u8
河源综合,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源公共,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
汕尾综合,https://iswtv.swrtv.com/live/xwzhpd.m3u8
汕尾文化生活,https://iswtv.swrtv.com/live/whshpd.m3u8
潮州综合,http://livezhpd.czbtv.com:38880/live/ctvzhpd.m3u8?secret=czbtv20250301
潮州公共,http://livezhpd.czbtv.com:38880/live/ggpd.m3u8?secret=czbtv20250301
深圳卫视,video://https://www.sztv.com.cn/pindao/index.html?id=7867
深圳都市,video://https://www.sztv.com.cn/pindao/index.html?id=7868
深圳电视剧,video://https://www.sztv.com.cn/pindao/index.html?id=7880
深圳财经,video://https://www.sztv.com.cn/pindao/index.html?id=7871
深圳少儿,video://https://www.sztv.com.cn/pindao/index.html?id=7881
深圳移动,video://https://www.sztv.com.cn/pindao/index.html?id=7869
深圳国际,video://https://www.sztv.com.cn/pindao/index.html?id=7944
江门综合,video://http://www.jmtv.cn/live/jm_live_h5.shtml?pid=2
江门侨乡生活,video://http://www.jmtv.cn/live/jm_live_h5.shtml?pid=1
东莞新闻综合,video://https://dgrtv.sun0769.com/index.php/online2/4
东莞生活资讯,video://https://dgrtv.sun0769.com/index.php/online2/5
河源综合,video://https://www.hyrtv.cn/itv/zhds/
河源公共,video://https://www.hyrtv.cn/itv/ggds/
清远新闻综合,video://https://h5.qyrb.cn/h5/nfzmy-television-and-radio/#/?channelId=1
清远文旅生活,video://https://h5.qyrb.cn/h5/nfzmy-television-and-radio/#/?channelId=3
韶关新闻综合,video://https://www.sgmsw.cn/mobile/tvinfo?id=SB05RIYZOU8JR418AUQOF62CAJQ08D0E
肇庆生活,video://https://zqh5.xjrb.com/h5/nfzmy-television-and-radio/#/?channelId=34
肇庆综合,video://https://zqh5.xjrb.com/h5/nfzmy-television-and-radio/#/?channelId=33
云浮综合,video://https://static.yft.ndoe.cn/hd/ysx/#/?channelType=0&channelId=8
云浮文旅,video://https://static.yft.ndoe.cn/hd/ysx/#/?channelType=0&channelId=9
广东珠江(荔枝网),video://https://www.gdtv.cn/tvChannelDetail/44
广东新闻(荔枝网),video://https://www.gdtv.cn/tvChannelDetail/45
广东民生(荔枝网),video://https://www.gdtv.cn/tvChannelDetail/48
广东体育(荔枝网),video://https://www.gdtv.cn/tvChannelDetail/47
大湾区卫视(荔枝网),video://https://www.gdtv.cn/tvChannelDetail/51
大湾区卫视海外版(荔枝网),video://https://www.gdtv.cn/tvChannelDetail/46
广东影视(荔枝网),video://https://www.gdtv.cn/tvChannelDetail/53
广东卫视(荔枝网),video://https://www.gdtv.cn/tvChannelDetail/43
4K超高清(荔枝网),video://https://www.gdtv.cn/tvChannelDetail/16
广东少儿(荔枝网),video://https://www.gdtv.cn/tvChannelDetail/54
嘉佳卡通(荔枝网),video://https://www.gdtv.cn/tvChannelDetail/66
岭南戏曲(荔枝网),video://https://www.gdtv.cn/tvChannelDetail/15
广东移动(荔枝网),video://https://www.gdtv.cn/tvChannelDetail/74
荔枝台(荔枝网),video://https://www.gdtv.cn/tvChannelDetail/100
纪录片(荔枝网),video://https://www.gdtv.cn/tvChannelDetail/94
GRTN健康频道(荔枝网),video://https://www.gdtv.cn/tvChannelDetail/99
GRTN文化频道(荔枝网),video://https://www.gdtv.cn/tvChannelDetail/75
GRTN生活频道(荔枝网),video://https://www.gdtv.cn/tvChannelDetail/102
GRTN教育频道(荔枝网),video://https://www.gdtv.cn/tvChannelDetail/104

👦🏻少儿频道,#genre#
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江少儿,video://https://www.cztv.com/liveTV/108
北京卡酷少儿,http://qtest-play.btime.cn/live/btv_sn_20170706_s10.m3u8
山东少儿,video://http://v.iqilu.com/live/sepd/
北京卡酷少儿,https://cc05.tv12.xyz/162.m3u8
内蒙古少儿,http://livestream-bt.nmtv.cn/nmtv/2318general.m3u8?txSecret=a2c948908728a0733cecbe1fadea23dc&txTime=771E8800
内蒙古少儿,http://play1-qk.nmtv.cn/live/1686560464515368.m3u8
河北少儿,video://https://www.hebtv.com/19/19js/st/xdszb/index.shtml?index=5
成都少儿,video://https://www.cditv.cn/show/4845-558.html
深圳少儿,video://https://www.sztv.com.cn/pindao/index.html?id=7881
优漫卡通,video://https://live.jstv.com/?channelId=543
优漫卡通,http://101.35.112.174:1988/jsw.php?id=ymkt
金鹰卡通,video://https://live.mgtv.com/?channelId\u003d221
海南少儿,video://https://service-app.hnntv.cn/AppEngine/appinfo/STHaiNan/share.html?userId=1&appId=STHaiNan&userId=1&channelId=7
广东少儿,http://fuhome.vicp.fun:4060/udp/239.77.0.250:5146
CCTV14,http://fuhome.vicp.fun:4060/udp/239.77.0.133:5146
嘉佳卡通,http://fuhome.vicp.fun:4060/udp/239.77.0.179:5146
南京少年儿童,https://live.nbs.cn/channels/njtv/sepd/nbs23.m3u8
江西少儿,http://203.205.191.53/yun-live.jxtvcn.com.cn/live-jxtv/tv_jxtv6.m3u8
江西少儿,https://play-live-hls.jxtvcn.com.cn/live-city/tv_jxtv6.m3u8
海绵宝宝,http://120.46.223.160:35455/douyu/7528160
海绵宝宝①,http://120.46.223.160:35455/douyu/3949681
海绵宝宝②,http://120.46.223.160:35455/huya/11352919
海绵宝宝③,http://120.46.223.160:35455/douyu/1569773
海绵宝宝④,http://120.46.223.160:35455/douyu/12400977
火影忍者,http://120.46.223.160:35455/huya/29465866
火影忍者之博人传,http://120.46.223.160:35455/huya/11352974
火影忍者之疾风传,http://120.46.223.160:35455/huya/11342385
动漫大电影,http://120.46.223.160:35455/huya/11601958
经典动漫,http://120.46.223.160:35455/huya/23829543
成龙历险记,http://120.46.223.160:35455/douyu/2287949
成龙历险记①,http://120.46.223.160:35455/huya/11352946
成龙历险纪②,http://120.46.223.160:35455/douyu/12538016
小当家,http://120.46.223.160:35455/douyu/997925
厨神小当家,http://120.46.223.160:35455/huya/24257300
中华小当家,http://120.46.223.160:35455/douyu/8231658
头文字D,http://120.46.223.160:35455/huya/11352889
头文字D①,http://120.46.223.160:35455/douyu/1174353
剧场版海贼王,http://120.46.223.160:35455/huya/29982634
全职猎人,http://120.46.223.160:35455/douyu/6610883
英雄联盟,http://120.46.223.160:35455/huya/23903196
名侦探柯南,http://120.46.223.160:35455/huya/30080148
名侦探柯南剧场版,http://120.46.223.160:35455/huya/30080236
猫和老鼠,http://120.46.223.160:35455/huya/11352879
卡牌王,http://120.46.223.160:35455/douyu/1487654
银面骑士,http://120.46.223.160:35455/douyu/1218414
茶啊二中,http://120.46.223.160:35455/huya/11213191
茶啊二中①,http://120.46.223.160:35455/douyu/2925610
航海王,http://120.46.223.160:35455/huya/16913382
七龙珠,http://120.46.223.160:35455/huya/11601966
樱桃小丸子,http://120.46.223.160:35455/huya/11342394
宠物小精灵,http://120.46.223.160:35455/huya/29465874
宠物小精灵①,http://120.46.223.160:35455/huya/11602069
宠物小精灵②,http://120.46.223.160:35455/huya/23749096
斗罗大陆,http://120.46.223.160:35455/huya/11352906
异人动漫,http://120.46.223.160:35455/huya/11352869
新世纪福音战士,http://120.46.223.160:35455/huya/21059570
全职高手,http://120.46.223.160:35455/huya/21059558
蜡笔小新,http://120.46.223.160:35455/huya/11352970
犬夜叉剧场版,http://120.46.223.160:35455/douyu/11906591
网球王子,http://120.46.223.160:35455/huya/11352882
二次元的世界,http://120.46.223.160:35455/huya/21059614
齐神,http://120.46.223.160:35455/huya/11352918
完美世界,http://120.46.223.160:35455/huya/11336579
哆啦A梦,http://120.46.223.160:35455/huya/11601963
开心锤锤,http://120.46.223.160:35455/douyu/9018297
四驱兄弟,http://120.46.223.160:35455/huya/11352922
斗魂大陆,http://120.46.223.160:35455/huya/26355828
画江湖之不良人,http://120.46.223.160:35455/huya/21059565
画江湖之不良人①,http://120.46.223.160:35455/huya/30080218
斗破苍穹,http://120.46.223.160:35455/huya/29465865
足球小将,http://120.46.223.160:35455/huya/11352904

哪吒传奇,http://120.46.223.160:35455/huya/26355782
我是特工代号黄昏,http://120.46.223.160:35455/huya/11602084
惊悚恐怖动画,http://120.46.223.160:35455/douyu/9312460
魔道祖师,http://120.46.223.160:35455/huya/30080217
仙逆,http://120.46.223.160:35455/huya/30080215
西游记动画,http://120.46.223.160:35455/huya/29981376
少年歌行,http://120.46.223.160:35455/huya/29982667
一念永恒,http://120.46.223.160:35455/huya/30080223
武庚纪-究极人神之战,http://120.46.223.160:35455/huya/26355862
刘关张三活宝,http://120.46.223.160:35455/huya/29465871
全职猎人,http://120.46.223.160:35455/huya/30080254
黑子的篮球,http://120.46.223.160:35455/huya/30080253
林小二动画,http://120.46.223.160:35455/douyu/11184164
巴斯光年,http://120.46.223.160:35455/huya/30080256
地灵曲,http://120.46.223.160:35455/huya/30080216
国风动画电影,http://120.46.223.160:35455/huya/30080242
怪盗基德,http://120.46.223.160:35455/huya/26355804
小猪佩奇,http://120.46.223.160:35455/douyu/9541736
喜羊羊灰太狼,http://120.46.223.160:35455/huya/23865080
民调局异闻录,http://120.46.223.160:35455/huya/26355820
一人之上,http://120.46.223.160:35455/huya/11602065
妖狐小红娘,http://120.46.223.160:35455/huya/11352967
动画电影大赏,http://120.46.223.160:35455/huya/21059599
百变小樱,http://120.46.223.160:35455/huya/21059587
一念斩魔一念诛仙,http://120.46.223.160:35455/huya/21059592
快把我哥哥带走,http://120.46.223.160:35455/huya/23734246
快把我哥哥带走①,http://120.46.223.160:35455/huya/2373424
国产动画电影,http://120.46.223.160:35455/huya/30080188
圣斗士,http://120.46.223.160:35455/douyu/12501387
爆笑虫子,http://120.46.223.160:35455/douyu/9942574
搞笑动漫,http://120.46.223.160:35455/douyu/9505575
爆笑动漫,http://120.46.223.160:35455/douyu/1449125
猫和老鼠配音,http://120.46.223.160:35455/douyu/9650181
吃鸡,http://120.46.223.160:35455/douyu/7027040

🇨🇳央视频道,#genre#
CCTV1,http://dh.zf83.top:8188/rtp/233.50.201.222:5140
CCTV1,http://dh.zf83.top:8188/rtp/233.50.200.247:5140
CCTV1,http://dh.zf83.top:8188/rtp/233.50.200.143:5140
CCTV1,http://dh.zf83.top:8188/rtp/233.50.200.130:5140
CCTV1,http://dh.zf83.top:8188/rtp/233.50.200.99:5140
CCTV1,http://dh.zf83.top:8188/rtp/233.50.201.118:5140
CCTV2,http://dh.zf83.top:8188/rtp/233.50.201.119:5140
CCTV2,http://dh.zf83.top:8188/rtp/233.50.200.100:5140
CCTV2,http://dh.zf83.top:8188/rtp/233.50.200.25:5140
CCTV3,http://dh.zf83.top:8188/rtp/233.50.201.196:5140
CCTV3,http://dh.zf83.top:8188/rtp/233.50.200.107:5140
CCTV4,http://dh.zf83.top:8188/rtp/233.50.200.101:5140
CCTV4,http://dh.zf83.top:8188/rtp/233.50.202.38:5140
CCTV5,http://dh.zf83.top:8188/rtp/233.50.201.197:5140
CCTV5,http://dh.zf83.top:8188/rtp/233.50.200.108:5140
CCTV5+,http://dh.zf83.top:8188/rtp/233.50.201.220:5140
CCTV6,http://dh.zf83.top:8188/rtp/233.50.200.109:5140
CCTV6,http://dh.zf83.top:8188/rtp/233.50.201.198:5140
CCTV7,http://dh.zf83.top:8188/rtp/233.50.201.120:5140
CCTV7,http://dh.zf83.top:8188/rtp/233.50.200.102:5140
CCTV7,http://dh.zf83.top:8188/rtp/233.50.200.24:5140
CCTV8,http://dh.zf83.top:8188/rtp/233.50.201.199:5140
CCTV8,http://dh.zf83.top:8188/rtp/233.50.200.110:5140
CCTV9,http://dh.zf83.top:8188/rtp/233.50.200.23:5140
CCTV9,http://dh.zf83.top:8188/rtp/233.50.201.121:5140
CCTV10,http://dh.zf83.top:8188/rtp/233.50.201.122:5140
CCTV10,http://dh.zf83.top:8188/rtp/233.50.200.22:5140
CCTV11,http://dh.zf83.top:8188/rtp/233.50.202.39:5140
CCTV12,http://dh.zf83.top:8188/rtp/233.50.201.123:5140
CCTV12,http://dh.zf83.top:8188/rtp/233.50.200.21:5140
CCTV13,http://dh.zf83.top:8188/rtp/233.50.201.246:5140
CCTV13,http://dh.zf83.top:8188/rtp/233.50.200.111:5140
CCTV13,http://dh.zf83.top:8188/rtp/233.50.200.97:5140
CCTV14,http://dh.zf83.top:8188/rtp/233.50.200.20:5140
CCTV14,http://dh.zf83.top:8188/rtp/233.50.201.124:5140
CCTV14,http://dh.zf83.top:8188/rtp/233.50.200.103:5140
CCTV15,http://dh.zf83.top:8188/rtp/233.50.202.40:5140
CCTV15,http://dh.zf83.top:8188/rtp/233.50.200.133:5140
CCTV16,http://dh.zf83.top:8188/rtp/233.50.200.112:5140
CCTV16,http://dh.zf83.top:8188/rtp/233.50.201.192:5140
CCTV17,http://dh.zf83.top:8188/rtp/233.50.200.113:5140
CCTV16_4K,http://dh.zf83.top:8188/rtp/233.50.201.63:5140

CCTV1,http://nas.swes.cn:8089/udp/239.93.0.184:5140
CCTV2,http://nas.swes.cn:8089/udp/239.93.1.23:6000
CCTV3,http://nas.swes.cn:8089/udp/239.93.1.11:2223
CCTV4,http://nas.swes.cn:8089/udp/239.93.1.105:5140
CCTV5,http://nas.swes.cn:8089/udp/239.93.42.37:5140
CCTV5＋,http://nas.swes.cn:8089/udp/239.93.1.36:8004
CCTV6,http://nas.swes.cn:8089/udp/239.93.1.13:2226
CCTV7,http://nas.swes.cn:8089/udp/239.93.1.67:5140
CCTV8,http://nas.swes.cn:8089/udp/239.93.42.39:5140
CCTV9,http://nas.swes.cn:8089/udp/239.93.1.24:5140
CCTV10,http://nas.swes.cn:8089/udp/239.93.1.28:5140
CCTV11,http://nas.swes.cn:8089/udp/239.93.0.102:5140
CCTV12,http://nas.swes.cn:8089/udp/239.93.1.30:8124
CCTV13,http://nas.swes.cn:8089/udp/239.93.0.66:5140
CCTV14,http://nas.swes.cn:8089/udp/239.93.1.29:6000
CCTV15,http://nas.swes.cn:8089/udp/239.93.0.103:5140
CCTV17,http://nas.swes.cn:8089/udp/239.93.0.92:5140

🇨🇳卫视频道,#genre#
辽宁卫视,http://dh.zf83.top:8188/rtp/233.50.200.173:5140
辽宁卫视,http://dh.zf83.top:8188/rtp/233.50.201.141:5140
辽宁卫视,http://dh.zf83.top:8188/rtp/233.50.200.129:5140
四川卫视,http://dh.zf83.top:8188/rtp/233.50.200.118:5140
四川卫视,http://dh.zf83.top:8188/rtp/233.50.201.139:5140
江西卫视,http://dh.zf83.top:8188/rtp/233.50.200.119:5140
江西卫视,http://dh.zf83.top:8188/rtp/233.50.201.145:5140
云南卫视,http://dh.zf83.top:8188/rtp/233.50.200.115:5140
河北卫视,http://dh.zf83.top:8188/rtp/233.50.200.105:5140
河北卫视,http://dh.zf83.top:8188/rtp/233.50.201.140:5140
安徽卫视,http://dh.zf83.top:8188/rtp/233.50.200.106:5140
安徽卫视,http://dh.zf83.top:8188/rtp/233.50.201.113:5140
湖北卫视,http://dh.zf83.top:8188/rtp/233.50.201.114:5140
湖北卫视,http://dh.zf83.top:8188/rtp/233.50.200.147:5140
北京卫视,http://dh.zf83.top:8188/rtp/233.50.200.179:5140
北京卫视,http://dh.zf83.top:8188/rtp/233.50.201.107:5140
北京纪实科教,http://dh.zf83.top:8188/rtp/233.50.202.34:5140
卡酷少儿,http://dh.zf83.top:8188/rtp/233.50.200.166:5140
卡酷少儿,http://dh.zf83.top:8188/rtp/233.50.202.33:5140
山东卫视,http://dh.zf83.top:8188/rtp/233.50.201.105:5140
山东卫视,http://dh.zf83.top:8188/rtp/233.50.200.127:5140
天津卫视,http://dh.zf83.top:8188/rtp/233.50.200.104:5140
天津卫视,http://dh.zf83.top:8188/rtp/233.50.201.104:5140
东方卫视,http://dh.zf83.top:8188/rtp/233.50.200.146:5140
东方卫视,http://dh.zf83.top:8188/rtp/233.50.201.125:5140
吉林卫视,http://dh.zf83.top:8188/rtp/233.50.200.164:5140
吉林卫视,http://dh.zf83.top:8188/rtp/233.50.202.42:5140
广东卫视,http://dh.zf83.top:8188/rtp/233.50.200.187:5140
广东卫视,http://dh.zf83.top:8188/rtp/233.50.200.126:5140
广东卫视,http://dh.zf83.top:8188/rtp/233.50.201.102:5140
广东卫视,http://dh.zf83.top:8188/rtp/233.50.200.149:5140
深圳卫视,http://dh.zf83.top:8188/rtp/233.50.200.188:5140
深圳卫视,http://dh.zf83.top:8188/rtp/233.50.201.101:5140
江苏卫视,http://dh.zf83.top:8188/rtp/233.50.201.106:5140
江苏卫视,http://dh.zf83.top:8188/rtp/233.50.200.144:5140
哈哈炫动,http://dh.zf83.top:8188/rtp/233.50.200.167:5140
河南卫视,http://dh.zf83.top:8188/rtp/233.50.201.144:5140
重庆卫视,http://dh.zf83.top:8188/rtp/233.50.201.143:5140
重庆卫视,http://dh.zf83.top:8188/rtp/233.50.200.114:5140
东南卫视,http://dh.zf83.top:8188/rtp/233.50.200.135:5140
东南卫视,http://dh.zf83.top:8188/rtp/233.50.201.146:5140
广西卫视,http://dh.zf83.top:8188/rtp/233.50.200.136:5140
三沙卫视,http://dh.zf83.top:8188/rtp/233.50.200.175:5140
海南卫视,http://dh.zf83.top:8188/rtp/233.50.200.165:5140
湖南卫视,http://dh.zf83.top:8188/rtp/233.50.200.190:5140
湖南卫视,http://dh.zf83.top:8188/rtp/233.50.201.103:5140
黑龙江卫视,http://dh.zf83.top:8188/rtp/233.50.200.189:5140
黑龙江卫视,http://dh.zf83.top:8188/rtp/233.50.201.115:5140
甘肃卫视,http://dh.zf83.top:8188/rtp/233.50.200.163:5140
贵州卫视,http://dh.zf83.top:8188/rtp/233.50.201.142:5140
陕西卫视,http://dh.zf83.top:8188/rtp/233.50.200.170:5140
陕西卫视,http://dh.zf83.top:8188/rtp/233.50.201.59:5140
金鹰卡通,http://dh.zf83.top:8188/rtp/233.50.201.73:5140
金鹰卡通,http://dh.zf83.top:8188/rtp/233.50.200.138:5140
兵团卫视,http://dh.zf83.top:8188/rtp/233.50.200.171:5140
兵团卫视,http://dh.zf83.top:8188/rtp/233.50.201.72:5140
延边卫视,http://dh.zf83.top:8188/rtp/233.50.200.184:5140
内蒙古卫视,http://dh.zf83.top:8188/rtp/233.50.201.148:5140
宁夏卫视,http://dh.zf83.top:8188/rtp/233.50.200.215:5140
宁夏卫视,http://dh.zf83.top:8188/rtp/233.50.201.57:5140
青海卫视,http://dh.zf83.top:8188/rtp/233.50.200.131:5140
青海卫视,http://dh.zf83.top:8188/rtp/233.50.201.65:5140
西藏卫视,http://dh.zf83.top:8188/rtp/233.50.201.70:5140
山西卫视,http://dh.zf83.top:8188/rtp/233.50.201.51:5140
浙江卫视,http://dh.zf83.top:8188/rtp/233.50.201.100:5140
浙江卫视,http://dh.zf83.top:8188/rtp/233.50.200.145:5140
浙江卫视,http://dh.zf83.top:8188/rtp/233.50.200.231:5140

四川卫视,http://nas.swes.cn:8089/udp/239.93.0.20:1235
湖南卫视,http://nas.swes.cn:8089/udp/239.93.0.88:5140
江苏卫视,http://nas.swes.cn:8089/udp/239.93.0.89:5140
浙江卫视,http://nas.swes.cn:8089/udp/239.93.0.124:5140
东方卫视,http://nas.swes.cn:8089/udp/239.93.0.123:5140
北京卫视,http://nas.swes.cn:8089/udp/239.93.0.180:5140
深圳卫视,http://nas.swes.cn:8089/udp/239.93.0.182:5140
广东卫视,http://nas.swes.cn:8089/udp/239.93.0.181:5140
天津卫视,http://nas.swes.cn:8089/udp/239.93.0.167:5140
山东卫视,http://nas.swes.cn:8089/udp/239.93.0.168:5140
康巴卫视,http://nas.swes.cn:8089/udp/239.93.0.41:5140
江西卫视,http://nas.swes.cn:8089/udp/239.93.0.134:5140
东南卫视,http://nas.swes.cn:8089/udp/239.93.0.42:5140
黑龙江卫视,http://nas.swes.cn:8089/udp/239.93.0.183:5140
重庆卫视,http://nas.swes.cn:8089/udp/239.93.1.107:5140
贵州卫视,http://nas.swes.cn:8089/udp/239.93.0.131:5140
湖北卫视,http://nas.swes.cn:8089/udp/239.93.0.250:5140
安徽卫视,http://nas.swes.cn:8089/udp/239.93.1.106:5140
河北卫视,http://nas.swes.cn:8089/udp/239.93.0.132:5140
辽宁卫视,http://nas.swes.cn:8089/udp/239.93.1.108:5140
云南卫视,http://nas.swes.cn:8089/udp/239.93.1.174:5140
河南卫视,http://nas.swes.cn:8089/udp/239.93.42.45:5140
广西卫视,http://nas.swes.cn:8089/udp/239.93.42.46:5140
江西卫视,http://203.205.191.53/yun-live.jxtvcn.com.cn/live-jxtv/tv_jxtv1.m3u8
海南卫视,https://livelyws.chinamcache.com/lyws/zb03.m3u8
三沙卫视,https://pullsstv90080111.ssws.tv/live/SSTV20230221.m3u8
兵团卫视,http://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
西藏卫视,http://php.jdshipin.com:8880/xztv.php?id=ws
江西卫视,http://203.205.191.53/yun-live.jxtvcn.com.cn/live-jxtv/tv_jxtv1.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
莲花卫视,http://live-hls.macaulotustv.com/lotustv/macaulotustv.m3u8
莲花卫视,http://1033946631.cloudvdn.com/a.m3u8?domain=live-hdl.macaulotustv.com&player=1&streamid=lotustv:lotustv/macaulotustv&v3=1
🇨🇳网页央卫,#genre#
CCTV1,video://https://m-live.cctvnews.cctv.com/live/landscape.html?liveRoomNumber=11200132825562653886&toc_style_id=feeds_only_back&share_to=copy_url&track_id=c3e89ea6-77d8-4230-89a3-a492aa16ee4c
CCTV1,video://http://www.guangbomi.com/tv/zy/cctv1.html
