🏆广东珠江,#genre#
广东新闻,http://183.10.180.58:202/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信3
广东影视,http://183.57.249.143:8183/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$广东东莞电信1
广东影视,http://183.10.180.123:212/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信1
广东影视,http://183.10.180.58:202/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信2
广州综合,http://183.10.180.123:212/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信1
广州综合,http://183.10.180.58:202/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信2
汕头经济,http://183.10.180.123:212/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信1
汕头经济,http://183.10.180.58:202/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信2
汕头综合,http://183.10.180.123:212/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信1
汕头综合,http://183.10.180.58:202/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信2
揭阳公共,http://183.10.180.123:212/tsfile/live/1141_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信1
揭阳公共,http://183.10.180.58:202/tsfile/live/1141_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信2
揭阳综合,http://183.10.180.123:212/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信1
揭阳综合,http://183.10.180.58:202/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信2
佛山顺德,http://183.10.180.123:212/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信1
佛山顺德,http://183.10.180.58:202/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信2
河源综合,http://183.10.180.123:212/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信1
河源综合,http://183.10.180.58:202/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信2
内蒙古,http://183.10.180.123:212/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信1
内蒙古,http://183.10.180.58:202/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信2
山东教育,http://183.10.180.123:212/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信2
山东教育,http://183.10.180.58:202/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信3
辽宁体育,http://39.152.103.17:8089/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&down=1$辽宁阜新移动1
辽宁公共,http://39.152.103.17:8089/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&down=1$辽宁阜新移动1
辽宁北方,http://39.152.103.17:8089/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&down=1$辽宁阜新移动1
辽宁影视剧,http://39.152.103.17:8089/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&down=1$辽宁阜新移动1
辽宁教育青少,http://39.152.103.17:8089/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&down=1$辽宁阜新移动1
辽宁生活,http://39.152.103.17:8089/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&down=1$辽宁阜新移动1
辽宁经济,http://39.152.103.17:8089/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&down=1$辽宁阜新移动1
辽宁都市,http://39.152.103.17:8089/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&down=1$辽宁阜新移动1
阜新教育,http://39.152.103.17:8089/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&down=1$辽宁阜新移动1
阜新综合,http://39.152.103.17:8089/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&down=1$辽宁阜新移动1
💐广东组播,#genre#
广东珠江,http://113.90.246.163:6921/udp/239.77.0.1:5146
大湾区卫视,http://113.90.246.163:6921/udp/239.77.0.215:5146
广东体育,http://113.90.246.163:6921/udp/239.77.0.112:5146
广东新闻,http://113.90.246.163:6921/udp/239.77.0.173:5146
广东4K,http://113.90.246.163:6921/udp/239.77.0.244:5146
广东岭南戏曲,http://113.90.246.163:6921/udp/239.77.0.122:5146
广东影视,http://113.90.246.163:6921/udp/239.77.0.217:5146
广东民生,http://113.90.246.163:6921/udp/239.77.0.225:5146
广东现代教育,http://113.90.246.163:6921/udp/239.77.0.213:5146
广东经济科教,http://113.90.246.163:6921/udp/239.77.0.85:5146
广州新闻,http://113.90.246.163:6921/udp/239.253.43.72:5146
广州法治,http://113.90.246.163:6921/udp/239.253.43.74:5146
广州综合,http://113.90.246.163:6921/udp/239.253.43.71:5146
汕头经济生活,http://113.90.246.163:6921/udp/239.253.43.46:5146
汕头综合,http://113.90.246.163:6921/udp/239.253.43.45:5146
汕尾综合,http://113.90.246.163:6921/udp/239.77.0.25:5146
揭阳生活,http://113.90.246.163:6921/udp/239.77.0.251:5146
揭阳综合,http://113.90.246.163:6921/udp/239.77.0.229:5146
深圳体育健康,http://113.90.246.163:6921/udp/239.77.1.128:5146
深圳电视剧,http://113.90.246.163:6921/udp/239.77.1.125:5146
深圳财经生活,http://113.90.246.163:6921/udp/239.77.1.242:5146
深圳都市,http://113.90.246.163:6921/udp/239.77.1.124:5146
深圳龙岗,http://113.90.246.163:6921/udp/239.77.1.223:5146
宝安频道,http://113.90.246.163:6921/udp/239.77.1.67:5146
东莞生活资讯,http://113.90.246.163:6921/udp/239.253.43.105:5146
东莞综合,http://113.90.246.163:6921/udp/239.253.43.104:5146
江门综合,http://113.90.246.163:6921/udp/239.77.0.201:5146
中山综合,http://113.90.246.163:6921/udp/239.253.43.62:5146
肇庆生活服务,http://113.90.246.163:6921/udp/239.253.43.2:5146
肇庆综合,http://113.90.246.163:6921/udp/239.253.43.1:5146
佛山公共,http://113.90.246.163:6921/udp/239.253.43.53:5146
佛山南海,http://113.90.246.163:6921/udp/239.253.43.54:5146
佛山综合,http://113.90.246.163:6921/udp/239.253.43.57:5146
佛山顺德,http://113.90.246.163:6921/udp/239.253.43.55:5146
湛江公共,http://113.90.246.163:6921/udp/239.77.0.140:5146
湛江综合,http://113.90.246.163:6921/udp/239.77.0.141:5146
云浮文旅,http://113.90.246.163:6921/udp/239.77.0.254:5146
云浮综合,http://113.90.246.163:6921/udp/239.77.0.253:5146
珠海-1,http://113.90.246.163:6921/udp/239.77.0.155:5146
河源公共,http://113.90.246.163:6921/udp/239.253.43.214:5146
河源综合,http://113.90.246.163:6921/udp/239.253.43.213:5146
梅州-1,http://113.90.246.163:6921/udp/239.253.43.123:5146
韶关综合,http://113.90.246.163:6921/udp/239.77.0.117:5146
客家生活,http://113.90.246.163:6921/udp/239.253.43.124:5146
徐闻综合,http://113.90.246.163:6921/udp/239.253.43.112:5146
清远综合,http://113.90.246.163:6921/udp/239.253.43.33:5146
潮州民生,http://113.90.246.163:6921/udp/239.253.43.75:5146
潮州综合,http://113.90.246.163:6921/udp/239.253.43.70:5146
茂名综合,http://113.90.246.163:6921/udp/239.77.0.206:5146
广东珠江,http://113.65.4.23:7188udp/239.77.0.1:5146
大湾区卫视,http://113.65.4.23:7188udp/239.77.0.215:5146
广东体育,http://113.65.4.23:7188udp/239.77.0.112:5146
广东新闻,http://113.65.4.23:7188udp/239.77.0.173:5146
广东4K,http://113.65.4.23:7188udp/239.77.0.244:5146
广东岭南戏曲,http://113.65.4.23:7188udp/239.77.0.122:5146
广东影视,http://113.65.4.23:7188udp/239.77.0.217:5146
广东民生,http://113.65.4.23:7188udp/239.77.0.225:5146
广东现代教育,http://113.65.4.23:7188udp/239.77.0.213:5146
广东经济科教,http://113.65.4.23:7188udp/239.77.0.85:5146
广州新闻,http://113.65.4.23:7188udp/239.253.43.72:5146
广州法治,http://113.65.4.23:7188udp/239.253.43.74:5146
广州综合,http://113.65.4.23:7188udp/239.253.43.71:5146
汕头经济生活,http://113.65.4.23:7188udp/239.253.43.46:5146
汕头综合,http://113.65.4.23:7188udp/239.253.43.45:5146
汕尾综合,http://113.65.4.23:7188udp/239.77.0.25:5146
揭阳生活,http://113.65.4.23:7188udp/239.77.0.251:5146
揭阳综合,http://113.65.4.23:7188udp/239.77.0.229:5146
深圳体育健康,http://113.65.4.23:7188udp/239.77.1.128:5146
深圳电视剧,http://113.65.4.23:7188udp/239.77.1.125:5146
深圳财经生活,http://113.65.4.23:7188udp/239.77.1.242:5146
深圳都市,http://113.65.4.23:7188udp/239.77.1.124:5146
深圳龙岗,http://113.65.4.23:7188udp/239.77.1.223:5146
宝安频道,http://113.65.4.23:7188udp/239.77.1.67:5146
东莞生活资讯,http://113.65.4.23:7188udp/239.253.43.105:5146
东莞综合,http://113.65.4.23:7188udp/239.253.43.104:5146
江门综合,http://113.65.4.23:7188udp/239.77.0.201:5146
中山综合,http://113.65.4.23:7188udp/239.253.43.62:5146
肇庆生活服务,http://113.65.4.23:7188udp/239.253.43.2:5146
肇庆综合,http://113.65.4.23:7188udp/239.253.43.1:5146
佛山公共,http://113.65.4.23:7188udp/239.253.43.53:5146
佛山南海,http://113.65.4.23:7188udp/239.253.43.54:5146
佛山综合,http://113.65.4.23:7188udp/239.253.43.57:5146
佛山顺德,http://113.65.4.23:7188udp/239.253.43.55:5146
湛江公共,http://113.65.4.23:7188udp/239.77.0.140:5146
湛江综合,http://113.65.4.23:7188udp/239.77.0.141:5146
云浮文旅,http://113.65.4.23:7188udp/239.77.0.254:5146
云浮综合,http://113.65.4.23:7188udp/239.77.0.253:5146
珠海-1,http://113.65.4.23:7188udp/239.77.0.155:5146
河源公共,http://113.65.4.23:7188udp/239.253.43.214:5146
河源综合,http://113.65.4.23:7188udp/239.253.43.213:5146
梅州-1,http://113.65.4.23:7188udp/239.253.43.123:5146
韶关综合,http://113.65.4.23:7188udp/239.77.0.117:5146
客家生活,http://113.65.4.23:7188udp/239.253.43.124:5146
徐闻综合,http://113.65.4.23:7188udp/239.253.43.112:5146
清远综合,http://113.65.4.23:7188udp/239.253.43.33:5146
潮州民生,http://113.65.4.23:7188udp/239.253.43.75:5146
潮州综合,http://113.65.4.23:7188udp/239.253.43.70:5146
茂名综合,http://113.65.4.23:7188udp/239.77.0.206:5146
广东珠江,http://113.77.25.121:8188/udp/239.77.0.1:5146
大湾区卫视,http://113.77.25.121:8188/udp/239.77.0.215:5146
广东体育,http://113.77.25.121:8188/udp/239.77.0.112:5146
广东新闻,http://113.77.25.121:8188/udp/239.77.0.173:5146
广东4K,http://113.77.25.121:8188/udp/239.77.0.244:5146
广东岭南戏曲,http://113.77.25.121:8188/udp/239.77.0.122:5146
广东影视,http://113.77.25.121:8188/udp/239.77.0.217:5146
广东民生,http://113.77.25.121:8188/udp/239.77.0.225:5146
广东现代教育,http://113.77.25.121:8188/udp/239.77.0.213:5146
广东经济科教,http://113.77.25.121:8188/udp/239.77.0.85:5146
广州新闻,http://113.77.25.121:8188/udp/239.253.43.72:5146
广州法治,http://113.77.25.121:8188/udp/239.253.43.74:5146
广州综合,http://113.77.25.121:8188/udp/239.253.43.71:5146
汕头经济生活,http://113.77.25.121:8188/udp/239.253.43.46:5146
汕头综合,http://113.77.25.121:8188/udp/239.253.43.45:5146
汕尾综合,http://113.77.25.121:8188/udp/239.77.0.25:5146
揭阳生活,http://113.77.25.121:8188/udp/239.77.0.251:5146
揭阳综合,http://113.77.25.121:8188/udp/239.77.0.229:5146
深圳体育健康,http://113.77.25.121:8188/udp/239.77.1.128:5146
深圳电视剧,http://113.77.25.121:8188/udp/239.77.1.125:5146
深圳财经生活,http://113.77.25.121:8188/udp/239.77.1.242:5146
深圳都市,http://113.77.25.121:8188/udp/239.77.1.124:5146
深圳龙岗,http://113.77.25.121:8188/udp/239.77.1.223:5146
宝安频道,http://113.77.25.121:8188/udp/239.77.1.67:5146
东莞生活资讯,http://113.77.25.121:8188/udp/239.253.43.105:5146
东莞综合,http://113.77.25.121:8188/udp/239.253.43.104:5146
江门综合,http://113.77.25.121:8188/udp/239.77.0.201:5146
中山综合,http://113.77.25.121:8188/udp/239.253.43.62:5146
肇庆生活服务,http://113.77.25.121:8188/udp/239.253.43.2:5146
肇庆综合,http://113.77.25.121:8188/udp/239.253.43.1:5146
佛山公共,http://113.77.25.121:8188/udp/239.253.43.53:5146
佛山南海,http://113.77.25.121:8188/udp/239.253.43.54:5146
佛山综合,http://113.77.25.121:8188/udp/239.253.43.57:5146
佛山顺德,http://113.77.25.121:8188/udp/239.253.43.55:5146
湛江公共,http://113.77.25.121:8188/udp/239.77.0.140:5146
湛江综合,http://113.77.25.121:8188/udp/239.77.0.141:5146
云浮文旅,http://113.77.25.121:8188/udp/239.77.0.254:5146
云浮综合,http://113.77.25.121:8188/udp/239.77.0.253:5146
珠海-1,http://113.77.25.121:8188/udp/239.77.0.155:5146
河源公共,http://113.77.25.121:8188/udp/239.253.43.214:5146
河源综合,http://113.77.25.121:8188/udp/239.253.43.213:5146
梅州-1,http://113.77.25.121:8188/udp/239.253.43.123:5146
韶关综合,http://113.77.25.121:8188/udp/239.77.0.117:5146
客家生活,http://113.77.25.121:8188/udp/239.253.43.124:5146
徐闻综合,http://113.77.25.121:8188/udp/239.253.43.112:5146
清远综合,http://113.77.25.121:8188/udp/239.253.43.33:5146
潮州民生,http://113.77.25.121:8188/udp/239.253.43.75:5146
潮州综合,http://113.77.25.121:8188/udp/239.253.43.70:5146
茂名综合,http://113.77.25.121:8188/udp/239.77.0.206:5146
🇨🇳央视频道,#genre#
CCTV1综合,http://s4.135569.ggff.net/migu.php?id=CCTV1超清
CCTV2财经,http://s4.135569.ggff.net/migu.php?id=CCTV2超清
CCTV3综艺,http://s4.135569.ggff.net/migu.php?id=CCTV3超清
CCTV4-中文国际,http://s4.135569.ggff.net/migu.php?id=CCTV4超清
CCTV5体育,http://s4.135569.ggff.net/migu.php?id=CCTV5超清
CCTV5+体育赛事,http://s4.135569.ggff.net/migu.php?id=CCTV5+体育赛事
CCTV6电影,http://s4.135569.ggff.net/migu.php?id=CCTV6超清
CCTV7国防军事,http://s4.135569.ggff.net/migu.php?id=CCTV7超清
CCTV8电视剧,http://s4.135569.ggff.net/migu.php?id=CCTVCCTV8超清
CCTV9纪录,http://s4.135569.ggff.net/migu.php?id=CCTV9超清
CCTV10科教,http://s4.135569.ggff.net/migu.php?id=CCTV10超清
CCTV11戏曲,http://s4.135569.ggff.net/migu.php?id=CCTV11超清
CCTV12社会与法,http://s4.135569.ggff.net/migu.php?id=CCTV12超清
CCTV13新闻,http://s4.135569.ggff.net/migu.php?id=CCTV13超清
CCTV14少儿,http://s4.135569.ggff.net/migu.php?id=CCTV14超清
CCTV15音乐,http://s4.135569.ggff.net/migu.php?id=CCTV15超清
CCTV17农业农村,http://s4.135569.ggff.net/migu.php?id=CCTV17超清
CCTV1综合,http://171.43.64.126:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北十堰电信4
CCTV1综合,http://171.43.64.126:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北武汉电信2
CCTV1综合,http://39.152.103.17:8089/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&down=1$辽宁阜新移动5
CCTV1综合,http://183.57.249.143:8183/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$广东东莞电信7
CCTV1综合,http://218.17.33.178:53290/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$广东深圳电信8
CCTV1综合,http://183.10.180.123:212/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信10
CCTV1综合,http://183.10.180.58:202/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信11
CCTV2财经,http://171.43.64.126:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北武汉电信3
CCTV2财经,http://171.43.64.126:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北十堰电信4
CCTV2财经,http://39.152.103.17:8089/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&down=1$辽宁阜新移动5
CCTV2财经,http://183.57.249.143:8183/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$广东东莞电信7
CCTV2财经,http://218.17.33.178:53290/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$广东深圳电信8
CCTV2财经,http://113.90.247.47:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$广东深圳电信9
CCTV2财经,http://183.10.180.123:212/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信10
CCTV2财经,http://183.10.180.58:202/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信11
CCTV3综艺,http://171.43.64.126:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北武汉电信1
CCTV3综艺,http://171.43.64.126:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北武汉电信2
CCTV3综艺,http://171.43.64.126:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北十堰电信3
CCTV3综艺,http://39.152.103.17:8089/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&down=1$辽宁阜新移动4
CCTV3综艺,http://183.57.249.143:8183/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$广东东莞电信6
CCTV3综艺,http://218.17.33.178:53290/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$广东深圳电信7
CCTV3综艺,http://113.90.247.47:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$广东深圳电信8
CCTV3综艺,http://183.10.180.123:212/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信9
CCTV3综艺,http://183.10.180.58:202/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信10
CCTV4中文国际,http://171.43.64.126:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$湖北武汉电信2
CCTV4中文国际,http://171.43.64.126:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$湖北武汉电信3
CCTV4中文国际,http://171.43.64.126:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$湖北十堰电信4
CCTV4中文国际,http://39.152.103.17:8089/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&down=1$辽宁阜新移动5
CCTV4中文国际,http://183.57.249.143:8183/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$广东东莞电信7
CCTV4中文国际,http://218.17.33.178:53290/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$广东深圳电信8
CCTV4中文国际,http://113.90.247.47:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$广东深圳电信9
CCTV4中文国际,http://183.10.180.123:212/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信10
CCTV4中文国际,http://183.10.180.58:202/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信11
CCTV5体育,http://39.152.103.17:8089/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&down=1$辽宁阜新移动4
CCTV5体育,http://183.57.249.143:8183/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$广东东莞电信6
CCTV5体育,http://218.17.33.178:53290/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0$广东深圳电信7
CCTV5体育,http://113.90.247.47:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$广东深圳电信8
CCTV5体育,http://183.10.180.123:212/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信9
CCTV5体育,http://183.10.180.58:202/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信10
CCTV5+体育赛事,http://39.152.103.17:8089/tsfile/live/1090_1.m3u8?key=txiptv&playlive=1&down=1$辽宁阜新移动2
CCTV5+体育赛事,http://218.17.33.178:53290/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$广东深圳电信4
CCTV6电影,http://39.152.103.17:8089/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&down=1$辽宁阜新移动4
CCTV6电影,http://183.57.249.143:8183/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$广东东莞电信6
CCTV6电影,http://218.17.33.178:53290/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0$广东深圳电信7
CCTV6电影,http://113.90.247.47:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$广东深圳电信8
CCTV6电影,http://183.10.180.123:212/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信9
CCTV6电影,http://183.10.180.58:202/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信10
CCTV7国防军事,http://39.152.103.17:8089/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&down=1$辽宁阜新移动4
CCTV7国防军事,http://183.57.249.143:8183/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$广东东莞电信6
CCTV7国防军事,http://218.17.33.178:53290/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0$广东深圳电信7
CCTV7国防军事,http://113.90.247.47:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$广东深圳电信8
CCTV7国防军事,http://183.10.180.123:212/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信9
CCTV7国防军事,http://183.10.180.58:202/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信10
CCTV8电视剧,http://171.43.64.126:85/tsfile/live/faacts/0008_2.m3u8?key=txiptv&playlive=1&authid=0$湖北十堰电信4
CCTV8电视剧,http://39.152.103.17:8089/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&down=1$辽宁阜新移动5
CCTV8电视剧,http://183.57.249.143:8183/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$广东东莞电信7
CCTV8电视剧,http://218.17.33.178:53290/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0$广东深圳电信8
CCTV8电视剧,http://113.90.247.47:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$广东深圳电信9
CCTV8电视剧,http://183.10.180.123:212/tsfile/live/1110_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信10
CCTV8电视剧,http://183.10.180.58:202/tsfile/live/1110_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信11
CCTV9纪录,http://171.43.64.126:85/tsfile/live/faacts/0009_2.m3u8?key=txiptv&playlive=1&authid=0$湖北十堰电信4
CCTV9纪录,http://39.152.103.17:8089/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&down=1$辽宁阜新移动5
CCTV9纪录,http://183.57.249.143:8183/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$广东东莞电信7
CCTV9纪录,http://218.17.33.178:53290/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0$广东深圳电信8
CCTV9纪录,http://113.90.247.47:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$广东深圳电信9
CCTV9纪录,http://183.10.180.123:212/tsfile/live/1124_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信10
CCTV9纪录,http://183.10.180.58:202/tsfile/live/1124_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信11
CCTV10科教,http://171.43.64.126:85/tsfile/live/faacts/0010_2.m3u8?key=txiptv&playlive=1&authid=0$湖北十堰电信4
CCTV10科教,http://39.152.103.17:8089/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&down=1$辽宁阜新移动5
CCTV10科教,http://183.57.249.143:8183/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$广东东莞电信7
CCTV10科教,http://113.90.247.47:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$广东深圳电信9
CCTV10科教,http://183.10.180.123:212/tsfile/live/1129_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信10
CCTV11戏曲,http://39.152.103.17:8089/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&down=1$辽宁阜新移动5
CCTV11戏曲,http://183.57.249.143:8183/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$广东东莞电信7
CCTV11戏曲,http://113.90.247.47:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$广东深圳电信9
CCTV11戏曲,http://183.10.180.123:212/tsfile/live/1130_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信10
CCTV11戏曲,http://183.10.180.58:202/tsfile/live/1130_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信11
CCTV12社会与法,http://171.43.64.126:85/tsfile/live/faacts/0012_2.m3u8?key=txiptv&playlive=1&authid=0$湖北十堰电信4
CCTV12社会与法,http://39.152.103.17:8089/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&down=1$辽宁阜新移动5
CCTV12社会与法,http://183.57.249.143:8183/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$广东东莞电信7
CCTV12社会与法,http://113.90.247.47:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$广东深圳电信9
