央视IPTV,#genre#
CGTV西班牙-FHD,http://111.48.34.237/PLTV/88888888/224/3221230480/1.m3u8
CGTN法国-FHD,http://111.48.34.237/PLTV/88888888/224/3221230533/1.m3u8
CGTV-FHD,http://111.48.34.237/PLTV/88888888/224/3221230396/1.m3u8
CGTV西班牙-FHD,http://111.48.34.237/PLTV/88888888/224/3221230398/1.m3u8
CGTV阿拉伯-FHD,http://111.48.34.237/PLTV/88888888/224/3221230402/1.m3u8
CCTV高尔夫网球-FHD,http://111.48.34.237/PLTV/88888888/224/3221230535/1.m3u8
CCTV兵器科技-FHD,http://111.48.34.237/PLTV/88888888/224/3221230537/1.m3u8
CTCV风云音乐-HD,http://111.48.34.237/PLTV/88888888/224/3221230541/1.m3u8
CCTV怀旧剧场-HD,http://111.48.34.237/PLTV/88888888/224/3221230543/1.m3u8
CCTV女性时尚-HD,http://111.48.34.237/PLTV/88888888/224/3221230545/1.m3u8
CCTV卫生健康-HD,http://111.48.34.237/PLTV/88888888/224/3221229726/1.m3u8
CCTV电视指南-HD,http://111.48.34.237/PLTV/88888888/224/3221230078/1.m3u8
CCTV电视指南-HD,http://111.48.34.237/PLTV/88888888/224/3221230492/1.m3u8
CCTV高尔夫网球-FHD,http://111.48.34.237/PLTV/88888888/224/3221230085/1.m3u8
CCTV风云音乐-HD,http://111.48.34.237/PLTV/88888888/224/3221230089/1.m3u8
CCTV怀旧剧场-HD,http://111.48.34.237/PLTV/88888888/224/3221230091/1.m3u8
CCTV风云足球-FHD,http://111.48.34.237/PLTV/88888888/224/3221230482/1.m3u8
CCTV央视台球-FHD,http://111.48.34.237/PLTV/88888888/224/3221230484/1.m3u8
CCTV第一剧场-FHD,http://111.48.34.237/PLTV/88888888/224/3221230488/1.m3u8
CCTV世界地理-FHD,http://111.48.34.237/PLTV/88888888/224/3221230072/1.m3u8
CCTV兵器科技-FHD,http://111.48.34.237/PLTV/88888888/224/3221230162/1.m3u8
CETV1-FHD,http://111.48.34.237/PLTV/88888888/224/3221230523/1.m3u8
CETV2-HD,http://111.48.34.237/PLTV/88888888/224/3221230171/1.m3u8
CETV2-HD,http://111.48.34.237/PLTV/88888888/224/3221230389/1.m3u8
CETV4-HD,http://111.48.34.237/PLTV/88888888/224/3221230466/1.m3u8
CETV4-HD,http://111.48.34.237/PLTV/88888888/224/3221229939/1.m3u8
CCTV央视台球-FHD,http://111.48.34.237/PLTV/88888888/224/3221230173/1.m3u8
中央新影老故事-HD,http://111.48.34.237/PLTV/88888888/224/3221230087/1.m3u8
中央新影老故事-HD,http://111.48.34.237/PLTV/88888888/224/3221230539/1.m3u8
文物宝库-FHD,http://111.48.34.237/PLTV/88888888/224/3221230547/1.m3u8
武术世界-FHD,http://111.48.34.237/PLTV/88888888/224/3221230549/1.m3u8
CGTV俄罗斯-FHD,http://111.48.34.237/PLTV/88888888/224/3221230408/1.m3u8
CCTV卫生健康-HD,http://111.48.34.237/PLTV/88888888/224/3221230416/1.m3u8
CGTV俄罗斯-FHD,http://111.48.34.237/PLTV/88888888/224/3221230478/1.m3u8
CGTV法国-FHD,http://111.48.34.237/PLTV/88888888/224/3221230453/1.m3u8

卫视IPTV,#genre#
湖北卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229812/1.m3u8
湖北影视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230404/1.m3u8
湖北教育-FHD,http://111.48.34.237/PLTV/88888888/224/3221230406/1.m3u8
湖北经视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229804/1.m3u8
湖北综合-FHD,http://111.48.34.237/PLTV/88888888/224/3221229806/1.m3u8
湖北综合-FHD,http://111.48.34.237/PLTV/88888888/224/3221230439/1.m3u8
湖北垄上-FHD,http://111.48.34.237/PLTV/88888888/224/3221229833/1.m3u8
湖北生活-FHD,http://111.48.34.237/PLTV/88888888/224/3221230457/1.m3u8
湖北经视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230388/1.m3u8
湖北垄上-FHD,http://111.48.34.237/PLTV/88888888/224/3221230390/1.m3u8
湖北卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230509/1.m3u8
东方卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221229686/1.m3u8
宁夏卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221229688/1.m3u8
海南卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221229694/1.m3u8
浙江卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221229695/1.m3u8
安徽卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221229701/1.m3u8
内蒙古卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221229704/1.m3u8
山东卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221229705/1.m3u8
东南卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221229711/1.m3u8
深圳卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229712/1.m3u8
环球奇观-HD,http://111.48.34.237/PLTV/88888888/224/3221229716/1.m3u8
天津卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221229717/1.m3u8
国学频道-HD,http://111.48.34.237/PLTV/88888888/224/3221229718/1.m3u8
山西卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221229721/1.m3u8
云南卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221229723/1.m3u8
西藏卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221229727/1.m3u8
财富天下-HD,http://111.48.34.237/PLTV/88888888/224/3221229728/1.m3u8
新疆卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221229729/1.m3u8
青海卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221229731/1.m3u8
陕西卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221229735/1.m3u8
湖南卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229739/1.m3u8
北京卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229741/1.m3u8
江苏卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229743/1.m3u8
江西卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229752/1.m3u8
重庆卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229756/1.m3u8
贵州卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229758/1.m3u8
新闻综合-FHD,http://111.48.34.237/PLTV/88888888/224/3221229763/1.m3u8
安徽卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229778/1.m3u8
武汉教育-FHD,http://111.48.34.237/PLTV/88888888/224/3221229783/1.m3u8
天津卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229786/1.m3u8
浙江卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229788/1.m3u8
CRTV1-FHD,http://111.48.34.237/PLTV/88888888/224/3221229790/1.m3u8
海南卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229794/1.m3u8
公共新闻-FHD,http://111.48.34.237/PLTV/88888888/224/3221229800/1.m3u8
东方卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229808/1.m3u8
东南卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229810/1.m3u8
金鹰纪实-FHD,http://111.48.34.237/PLTV/88888888/224/3221229814/1.m3u8
黑龙江卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229816/1.m3u8
辽宁卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229825/1.m3u8
山东卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229827/1.m3u8
河北卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229840/1.m3u8
襄阳综合-FHD,http://111.48.34.237/PLTV/88888888/224/3221229846/1.m3u8
襄阳经济生活-FHD,http://111.48.34.237/PLTV/88888888/224/3221229848/1.m3u8
襄阳公共-FHD,http://111.48.34.237/PLTV/88888888/224/3221229850/1.m3u8
河南卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229870/1.m3u8
快乐垂钓-FHD,http://111.48.34.237/PLTV/88888888/224/3221229871/1.m3u8
茶频道-FHD,http://111.48.34.237/PLTV/88888888/224/3221229873/1.m3u8
咸宁综合-HD,http://111.48.34.237/PLTV/88888888/224/3221229876/1.m3u8
四川卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229901/1.m3u8
经济生活-HD,http://111.48.34.237/PLTV/88888888/224/3221229907/1.m3u8
百视通-FHD,http://111.48.34.237/PLTV/88888888/224/3221229968/1.m3u8
湖南卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229983/1.m3u8
新疆卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221230030/1.m3u8
百视通-FHD,http://111.48.34.237/PLTV/88888888/224/3221230031/1.m3u8
兵团卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221230032/1.m3u8
宁夏卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221230036/1.m3u8
山西卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221230038/1.m3u8
内蒙古卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221230039/1.m3u8
卡酷少儿-FHD,http://111.48.34.237/PLTV/88888888/224/3221230040/1.m3u8
百视通-FHD,http://111.48.34.237/PLTV/88888888/224/3221230052/1.m3u8
百视通-FHD,http://111.48.34.237/PLTV/88888888/224/3221230056/1.m3u8
百视通-FHD,http://111.48.34.237/PLTV/88888888/224/3221230058/1.m3u8
百视通-FHD,http://111.48.34.237/PLTV/88888888/224/3221230061/1.m3u8
百视通-FHD,http://111.48.34.237/PLTV/88888888/224/3221230063/1
百视通-FHD,http://111.48.34.237/PLTV/88888888/224/3221230065/1.m3u8
百视通-FHD,http://111.48.34.237/PLTV/88888888/224/3221230067/1.m3u8
百视通-FHD,http://111.48.34.237/PLTV/88888888/224/3221230069/1.m3u8
汽摩-HD,http://111.48.34.237/PLTV/88888888/224/3221230076/1.m3u8
青海卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221230101/1.m3u8
西藏卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221230103/1.m3u8
贵州卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230138/1.m3u8
重庆卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230139/1.m3u8
四川卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230140/1.m3u8
海南卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230141/1.m3u8
河北卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230143/1.m3u8
广西卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230328/1.m3u8
咪咕视频-FHD,http://111.48.34.237/PLTV/88888888/224/3221230336/1.m3u8
文旅频道-FHD,http://111.48.34.237/PLTV/88888888/224/3221230344/1.m3u8
金鹰卡通-FHD,http://111.48.34.237/PLTV/88888888/224/3221230345/1.m3u8
外语6-FHD,http://111.48.34.237/PLTV/88888888/224/3221230352/1.m3u8
吉林卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230361/1.m3u8
云南卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221230365/1.m3u8
经济旅游-FHD,http://111.48.34.237/PLTV/88888888/224/3221230368/1.m3u8
央视频-FHD,http://111.48.34.237/PLTV/88888888/224/3221230371/1.m3u8
环球奇观-HD,http://111.48.34.237/PLTV/88888888/224/3221230392/1.m3u8
经济4-FHD,http://111.48.34.237/PLTV/88888888/224/3221230393/1.m3u8
三沙卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221230410/1.m3u8
央广购物-FHD,http://111.48.34.237/PLTV/88888888/224/3221230412/1.m3u8
好享购物-HD,http://111.48.34.237/PLTV/88888888/224/3221230414/1.m3u8
财富天下-HD,http://111.48.34.237/PLTV/88888888/224/3221230418/1.m3u8
CGTN-FHD,http://111.48.34.237/PLTV/88888888/224/3221230420/1.m3u8
湖北影视-FHD,ttp://111.48.34.237/PLTV/88888888/224/3221230428/1.m3u8
湖北教育-FHD,http://111.48.34.237/PLTV/88888888/224/3221230430/1.m3u8
茶频道-FHD,http://111.48.34.237/PLTV/88888888/224/3221230432/1.m3u8
先锋兵羽-HD,http://111.48.34.237/PLTV/88888888/224/3221230436/1.m3u8
四海钓鱼-HD,http://111.48.34.237/PLTV/88888888/224/3221230438/1.m3u8
公共新闻-FHD,http://111.48.34.237/PLTV/88888888/224/3221230441/1.m3u8
国学频道-HD,http://111.48.34.237/PLTV/88888888/224/3221230443/1.m3u8
东方卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230448/1.m3u8
哒啵电竞-FHD,http://111.48.34.237/PLTV/88888888/224/3221230452/1.m3u8
深圳卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230454/1.m3u8
山东卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230456/1.m3u8
天津卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230458/1.m3u8
山东教育卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221230459/1.m3u8
浙江卫视-FHD,ttp://111.48.34.237/PLTV/88888888/224/3221230460/1.m3u8
家有购物-HD,http://111.48.34.237/PLTV/88888888/224/3221230461/1.m3u8
黑龙江卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230462/1.m3u8
辽宁卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230464/1.m3u8
金鹰卡通-FHD,http://111.48.34.237/PLTV/88888888/224/3221230468/1.m3u8
快乐垂钓-FHD,http://111.48.34.237/PLTV/88888888/224/3221230479/1.m3u8
古画频道-HD,ttp://111.48.34.237/PLTV/88888888/224/3221230485/1.m3u8
世界地理-FHD,http://111.48.34.237/PLTV/88888888/224/3221230486/1.m3u8
新动漫-HD,http://111.48.34.237/PLTV/88888888/224/3221230487/1.m3u8
汽摩-HD,http://111.48.34.237/PLTV/88888888/224/3221230490/1.m3u8
梨园频道-FHD,http://111.48.34.237/PLTV/88888888/224/3221230496/1.m3u8
江苏卫视-FHD,http://11.48.34.237/PLTV/88888888/224/3221230497/1.m3u8
厦门卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221230498/1.m3u8
咪咕赛事-FHD,http://111.48.34.237/PLTV/88888888/224/3221230499/1.m3u8
欢笑剧场4K-UHD,http://111.48.34.237/PLTV/88888888/224/3221230500/1.m3u8
北京卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230501/1.m3u8
甘肃卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230502/1.m3u8
广东卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230503/1.m3u8
安徽卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230505/1.m3u8
东南卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230507/1.m3u8
河南卫视-FHD,ttp://111.48.34.237/PLTV/88888888/224/3221230511/1.m3u8
江西卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230519/1.m3u8
甘肃卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230521/1.m3u8
厦门卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221230525/1.m3u8

咪咕央卫IPV4,#genre#
CCTV1,http://goo.bkpcp.top/mg/cctv1
CCTV2,http://goo.bkpcp.top/mg/cctv2
CCTV3,http://goo.bkpcp.top/mg/cctv3
CCTV4,http://goo.bkpcp.top/mg/cctv4
CCTV5,http://goo.bkpcp.top/mg/cctv5
CCTV5+,http://goo.bkpcp.top/mg/cctv5p
CCTV6,http://goo.bkpcp.top/mg/cctv6
CCTV7,http://goo.bkpcp.top/mg/cctv7
CCTV8,http://goo.bkpcp.top/mg/cctv8
CCTV9,http://goo.bkpcp.top/mg/cctv9
CCTV10,http://goo.bkpcp.top/mg/cctv10
CCTV11,http://goo.bkpcp.top/mg/cctv11
CCTV12,http://goo.bkpcp.top/mg/cctv12
CCTV13,http://goo.bkpcp.top/mg/cctv13
CCTV14,http://goo.bkpcp.top/mg/cctv14
CCTV15,http://goo.bkpcp.top/mg/cctv15
CCTV16,http://goo.bkpcp.top/mg/cctv16
CCTV17,http://goo.bkpcp.top/mg/cctv17

湖北省内频道,#genre#
武汉新闻,http://stream.appwuhan.com/1tzb/sd/live.m3u8
武汉经济,http://stream.appwuhan.com/4tzb/sd/live.m3u8
武汉生活,http://stream.appwuhan.com/3tzb/sd/live.m3u8
荆门新闻综合,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8?zhubd
武汉教育,http://stream.appwuhan.com/jyzb/sd/live.m3u8
武汉文体,http://stream.appwuhan.com/5tzb/sd/live.m3u8
荆门新闻,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8
荆门公共,http://stream.jmtv.com.cn/ngpd/sd/live.m3u8
荆门教育,http://stream.jmtv.com.cn/ggsh/sd/live.m3u8
十堰新闻综合,http://p8.vzan.com/slowlive/034028687228317362/live.m3u8
十堰经济旅游,https://p8.vzan.com/slowlive/701367497774448672/live.m3u8
江夏新闻,http://59.175.226.142:280/gb28181/xwzh.m3u8?zhubd
崇阳综合,http://61.184.176.248:10500/live/live.m3u8
荆州公共,http://jingzhou-live21.cjyun.org/10085/s10085-jingzhou-tv02.m3u8?auth_key=1735660799-0-0-1963c999651ea135890d90bcc5ae172d
崇阳综合,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8?zhubd
宜昌综合,https://yichang-live21.cjyun.org/10091/10091-yczh.m3u8?auth_key=1735660799-0-0-152a9f6a201d7d56428feae52d4b18b8
襄城综合,http://tvpull.dxhmt.cn:9081/tv/11025-1.m3u8
黑莓电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
黑莓动画,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
湖南金鹰卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
卡酷少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
黑龙江移动专用,#genre#
CCTV1,http://39.134.68.155:6610/PLTV/88888888/224/3221226016/index.m3u8?
CCTV1,http://39.134.68.155:6610/PLTV/88888888/224/3221226559/index.m3u8?
CCTV2,http://39.134.68.155:6610/PLTV/88888888/224/3221225588/index.m3u8?
CCTV2,http://39.134.68.155:6610/PLTV/88888888/224/3221226540/index.m3u8?
CCTV3,http://39.134.68.155:6610/PLTV/88888888/224/3221226021/index.m3u8?
CCTV4,http://39.134.68.155:6610/PLTV/88888888/224/3221226007/index.m3u8?
CCTV4,http://39.134.68.155:6610/PLTV/88888888/224/3221226428/index.m3u8?
CCTV5,http://39.134.68.155:6610/PLTV/88888888/224/3221225715/index.m3u8?
CCTV5,http://39.134.68.155:6610/PLTV/88888888/224/3221226019/index.m3u8?
CCTV5,http://39.134.68.155:6610/PLTV/88888888/224/3221226469/index.m3u8?
CCTV5+,http://39.134.68.155:6610/PLTV/88888888/224/3221225603/index.m3u8?
CCTV6,http://39.134.68.155:6610/PLTV/88888888/224/3221226010/index.m3u8?
CCTV7,http://39.134.68.155:6610/PLTV/88888888/224/3221225733/index.m3u8?
CCTV8,http://39.134.68.155:6610/PLTV/88888888/224/3221226008/index.m3u8?
CCTV9,http://39.134.68.155:6610/PLTV/88888888/224/3221225734/index.m3u8?
CCTV10,http://39.134.68.155:6610/PLTV/88888888/224/3221225730/index.m3u8?
CCTV10,http://39.134.68.155:6610/PLTV/88888888/224/3221226473/index.m3u8?
CCTV11,http://39.134.68.155:6610/PLTV/88888888/224/3221225597/index.m3u8?
CCTV11,http://39.134.68.155:6610/PLTV/88888888/224/3221226565/index.m3u8?
CCTV11,http://39.134.68.155:6610/PLTV/88888888/224/3221226568/index.m3u8?
CCTV12,http://39.134.68.155:6610/PLTV/88888888/224/3221225731/index.m3u8?
CCTV13,http://39.134.68.155:6610/PLTV/88888888/224/3221226011/index.m3u8?
CCTV13,http://39.134.68.155:6610/PLTV/88888888/224/3221226537/index.m3u8?
CCTV13,http://39.134.68.155:6610/PLTV/88888888/224/3221226571/index.m3u8?
CCTV14,http://39.134.68.155:6610/PLTV/88888888/224/3221225732/index.m3u8?
CCTV14,http://39.134.68.155:6610/PLTV/88888888/224/3221226591/index.m3u8?
CCTV15,http://39.134.68.155:6610/PLTV/88888888/224/3221225601/index.m3u8?
CCTV15,http://39.134.68.155:6610/PLTV/88888888/224/3221226476/index.m3u8?
CCTV16,http://39.134.68.155:6610/PLTV/88888888/224/3221226100/index.m3u8?
CCTV17,http://39.134.68.155:6610/PLTV/88888888/224/3221225765/index.m3u8?
黑龙江卫视移动,#genre#
北京卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221225728/index.m3u8?
北京卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226450/index.m3u8?
东方卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226345/index.m3u8?
东方卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221225735/index.m3u8?
重庆卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226409/index.m3u8?
浙江卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226339/index.m3u8?
江苏卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221225613/index.m3u8?
江苏卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226310/index.m3u8?
湖南卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221225610/index.m3u8?
湖南卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226307/index.m3u8?
深圳卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226313/index.m3u8?
深圳卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221225739/index.m3u8?
浙江卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221225612/index.m3u8?
天津卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226459/index.m3u8?
天津卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221225740/index.m3u8?
广东卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226248/index.m3u8?
黑龙江卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226327/index.m3u8?
安徽卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226391/index.m3u8?
四川卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226338/index.m3u8?
贵州卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226474/index.m3u8?
江西卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226344/index.m3u8?
东南卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226341/index.m3u8?
湖北卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226477/index.m3u8?
河南卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226480/index.m3u8?
山东卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226456/index.m3u8?
海南卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226465/index.m3u8?
吉林卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226397/index.m3u8?
河北卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221225627/index.m3u8?
河北卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226406/index.m3u8?
广西卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226549/index.m3u8?
黑龙江卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226525/index.m3u8?
黑龙江卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226531/index.m3u8?

NEW+iHOT(移动),#genre#
NEWTV超级综艺,http://39.134.68.155:6610/PLTV/88888888/224/3221225714/index.m3u8?
NEWTV超级体育,http://39.134.68.155:6610/PLTV/88888888/224/3221225715/index.m3u8?
NEWTV超级电影,http://39.134.68.155:6610/PLTV/88888888/224/3221225717/index.m3u8?
NEWTV超级电视剧,http://39.134.68.155:6610/PLTV/88888888/224/3221225716/index.m3u8?
NEWTV武搏世界,http://39.134.68.155:6610/PLTV/88888888/224/3221225680/index.m3u8?
NEWTV中国功夫,http://39.134.68.155:6610/PLTV/88888888/224/3221225681/index.m3u8?
NEWTV怡伴健康,http://39.134.68.155:6610/PLTV/88888888/224/3221225673/index.m3u8?
NEWTV军旅剧场,http://39.134.68.155:6610/PLTV/88888888/224/3221225676/index.m3u8?
NEWTV农业致富,http://39.134.68.155:6610/PLTV/88888888/224/3221225683/index.m3u8?
NEWTV古装剧场,http://39.134.68.155:6610/PLTV/88888888/224/3221225663/index.m3u8?
